Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Player-additional
109,John Simpson,26,BAL,G,17,17,0,0,0,0,0,0,0,1,8,0,0.0,0,0,0,0,0,0,,SimpJo00
110,Tedarrell Slaton,26,GNB,DL,17,17,0,0,0,0,2,0,0,0,0,0,0.0,50,23,27,2,2,0,,SlatTe00
111,Harrison Smith,34,MIN,S,17,17,0,0,0,0,3,3,0,0,0,0,3.0,93,60,33,2,6,0,,SmitHa00
112,Preston Smith,31,GNB,LB,17,17,0,0,0,0,4,2,0,0,0,0,8.0,48,28,20,4,21,0,,SmitPr00
113,Robert Spillane,28,LVR,LB,17,17,3,53,0,25,4,1,0,1,0,0,3.5,148,82,66,7,4,0,,SpilRo00
114,Terence Steele,26,DAL,T,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,SteeTe01
115,Patrick Surtain II,23,DEN,CB,17,17,1,0,0,0,12,0,0,0,0,0,0.0,69,59,10,0,0,0,PB,SurtPa01
116,Cameron Sutton,28,DET,CB,17,17,1,23,0,23,6,1,0,0,0,0,0.0,65,50,15,4,0,0,,SuttCa00
117,Josh Sweat,26,PHI,DE,17,17,0,0,0,0,1,2,0,0,0,0,6.5,43,30,13,7,23,0,,SweaJo00
118,Tua Tagovailoa,25,MIA,QB,17,17,0,0,0,0,0,0,13,9,-36,0,0.0,0,0,0,0,0,0,"PB,AP CPoY-5",TagoTu00
119,AJ Terrell,25,ATL,CB,17,17,0,0,0,0,11,0,0,0,0,0,0.0,45,34,11,4,0,0,,TerrAJ00
120,Kayvon Thibodeaux,23,NYG,OLB,17,17,0,0,0,0,4,3,0,1,0,0,11.5,50,26,24,12,16,0,,ThibKa00
121,Adam Thielen,33,CAR,WR,17,17,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,,ThieAd00
122,Zach Tom,24,GNB,OL,17,17,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,,TomxZa00
