Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,
S,Antoine Winfield Jr.,TAM,25,3,17,17,0,0,0,0,0,0,0,0,0,0,0,76,6.0,3,"FW: 1st Tm All-Conf., AP: 1st Tm, PFF: 1st Tm, SN: 1st Tm",WinfAn00
S,Jevon Holland,MIA,23,2,12,12,0,0,0,0,0,0,0,0,0,0,0,52,0.0,1,"FW: 1st Tm All-Conf., PFF: 2nd Tm",HollJe02
S,Justin Simmons,DEN,30,7,15,15,0,0,0,0,0,0,0,0,0,0,0,53,1.0,3,AP: 2nd Tm,SimmJu00
K,Brandon Aubrey,DAL,28,Rook,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, SN: 1st Tm",AubrBr00
K,Chase McLaughlin,TAM,27,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 1st Tm,McLaCh00
K,Justin Tucker,BAL,34,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,TuckJu00
K,Jake Elliott,PHI,28,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 2nd Tm, PFF: 2nd Tm",ElliJa03
P,AJ Cole III,LVR,28,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, SN: 1st Tm",ColeAJ01
P,Bradley Pinion,ATL,29,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 1st Tm,PiniBr00
P,Bryan Anger,DAL,35,11,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm",AngeBr00
PR,Derius Davis,LAC,23,Rook,17,2,0,0,0,0,0,14,101,0,15,66,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, NFLPA: 1st Tm, SN: 1st Tm",DaviDe02
PR,Rashid Shaheed,NOR,25,1,15,8,0,0,0,0,0,7,37,0,46,719,5,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",ShahRa00
KR,Keisean Nixon,GNB,26,4,17,13,0,0,0,0,0,1,11,0,0,0,0,59,0.5,1,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm",NixoKe00
KR,Marvin Mims,DEN,21,Rook,16,7,0,0,0,0,0,9,30,0,22,377,1,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm",MimsMa00
RET,KaVontae Turpin,DAL,27,1,16,0,0,0,0,0,0,11,110,1,12,127,3,0,0.0,0,PFF: 1st Tm,TurpKa00
RET,Ihmir Smith-Marsette,CAR,24,2,17,0,0,0,0,0,0,8,74,1,8,51,0,1,0.0,0,PFF: 2nd Tm,SmitIh00
ST,Miles Killebrew,PIT,30,7,17,1,0,0,0,0,0,0,0,0,0,0,0,21,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",KillMi00
ST,Jalen Reeves-Maybin,DET,28,6,17,0,1,1,31,0,0,2,3,0,0,0,0,13,1.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, NFLPA: 1st Tm",ReevJa00
ST,Matthew Adams,CLE,28,5,17,1,0,0,0,0,0,0,0,0,0,0,0,11,0.0,0,PFF: 1st Tm,AdamMa00
ST,Brenden Schooler,NWE,26,1,17,0,0,0,0,0,0,0,0,0,0,0,0,11,0.0,0,NFLPA: 1st Tm,SchoBr00
ST,J.T. Gray,NOR,27,5,14,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0,PFF: 2nd Tm,GrayJ.00
